slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles	kind_name	simt_barriers	seg_setup	seg_wait	seg_compute	seg_epilogue
0	0	0	1	1	0	0	0	1	0	1024	0	1024	1024	1024	0	3072	1188	0	3381	1654	1515	139	6223	rmsnorm	8	1188	92	3289	1654
1	2	0	0	1	32	16	32	1	3072	1024	0	8192	1024	1024	0	10240	2316	883	19040	2662	2395	267	24901	gemm	0	2316	7020	12903	2662
2	5	0	2	1	0	0	0	1	0	1024	0	0	0	0	0	1024	1316	0	1401	462	31	431	3179	rope	0	1316	0	1401	462
3	6	0	3	1	0	0	0	1	0	1024	0	0	1024	0	1024	2048	1174	0	1031	426	30	396	2631	kvappend	0	1174	0	1031	426
4	8	0	5	0	0	0	0	1	0	1024	0	26624	0	0	0	27648	1906	0	65507	168	36	132	67581	attention	2	1906	53	65454	168
5	9	0	0	0	32	16	32	1	3072	2048	0	11264	1024	1024	0	14336	3326	1634	27234	4074	3940	134	36268	gemm	0	3326	13313	15555	4074
6	10	0	1	0	0	0	0	1	0	1024	0	1024	1024	1024	0	3072	1129	0	3679	1415	1283	132	6223	rmsnorm	8	1129	99	3580	1415
7	11	0	0	0	32	16	32	1	3072	1024	0	8192	1024	1024	0	10240	1153	862	20673	2606	2476	130	25294	gemm	0	1153	7278	14257	2606
8	13	0	4	0	0	0	0	1	0	0	0	3072	0	0	0	3072	985	0	6887	162	31	131	8034	elementwise	0	985	0	6887	162
9	14	0	0	0	32	16	32	1	3072	1024	0	13312	2048	2048	0	16384	2186	923	34639	3721	3587	134	41469	gemm	0	2186	15522	20040	3721
10	15	0	1	0	0	0	0	1	0	1024	0	1024	1024	1024	0	3072	1260	0	3158	2013	1874	139	6431	rmsnorm	8	1260	89	3069	2013
11	17	0	0	0	32	16	32	1	3072	1024	1024	6144	1024	1024	0	9216	2186	959	17161	2386	2134	252	22692	gemm	0	2186	8240	9880	2386
12	20	0	2	0	0	0	0	1	0	1024	0	0	1024	0	1024	2048	1284	0	1960	609	30	579	3853	rope	0	1284	0	1960	609
13	21	0	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1176	0	1055	175	35	140	2406	kvappend	0	1176	0	1055	175
14	23	0	5	0	0	0	0	1	0	1024	0	25600	0	0	0	26624	1992	0	64516	162	31	131	66670	attention	2	1992	52	64464	162
