run	step	gpu_ms
1	0	4.63155222
1	1	4.30796814
1	2	3.75929594
1	3	4.31903982
1	4	3.74886394
1	5	4.31103992
1	6	4.31328011
1	7	3.76300812
1	8	4.30899191
1	9	3.75091195
1	10	4.31923199
1	11	3.75500798
1	12	4.30796814
1	13	4.30694389
1	14	3.76832008
1	15	4.31718397
1	16	3.75401592
1	17	4.30588818
1	18	3.75603199
1	19	4.32332802
1	20	3.74783993
1	21	4.31308794
1	22	4.31103992
1	23	3.757056
1	24	4.30489588
1	25	3.75091195
1	26	4.31820822
1	27	3.76115203
1	28	4.31308794
1	29	3.74783993
1	30	4.32025623
1	31	4.31513596
1	32	3.74886394
1	33	4.30284786
1	34	3.75193596
1	35	4.32332802
1	36	3.75193596
1	37	4.31411219
1	38	4.30284786
1	39	3.76627207
1	40	4.3161602
1	41	3.75193596
1	42	4.3161602
1	43	3.757056
1	44	4.31001616
1	45	3.74681592
1	46	4.32128
1	47	4.32537603
1	48	3.75193596
1	49	4.31308794
1	50	3.76729608
1	51	4.32742405
1	52	3.75295997
1	53	4.32025623
1	54	4.30387211
1	55	3.76729608
1	56	4.31411219
1	57	3.75603199
1	58	4.31718397
1	59	3.77139211
1	60	4.32230377
1	61	3.74988794
1	62	4.33663988
1	63	4.33766413
1	64	3.75808001
1	65	4.32230377
1	66	3.76627207
1	67	4.33561611
1	68	3.75603199
1	69	4.3161602
1	70	4.3161602
1	71	3.77855992
1	72	4.30899191
1	73	3.75500798
1	74	4.32128
1	75	3.76832008
1	76	4.3161602
1	77	3.75091195
1	78	4.32332802
1	79	4.33561611
1	80	3.7541759
1	81	4.31187201
1	82	3.76217604
1	83	4.33663988
1	84	3.75295997
1	85	4.3161602
1	86	4.31923199
1	87	3.76627207
1	88	4.30489588
1	89	3.75603199
1	90	4.31718397
1	91	3.77139211
1	92	4.32332802
1	93	3.75500798
1	94	4.32947206
1	95	4.3263998
1	96	3.75091195
1	97	4.31014395
1	98	3.75590396
1	99	4.3335681
1	100	3.75295997
1	101	4.31923199
1	102	4.31820822
1	103	3.75910401
1	104	4.30694389
1	105	3.75398397
1	106	4.31923199
1	107	3.76832008
1	108	4.3161602
1	109	3.75500798
1	110	4.32844782
1	111	4.3263998
1	112	3.74988794
1	113	4.31308794
1	114	3.76729608
1	115	4.33254385
1	116	3.75091195
1	117	4.32128
1	118	4.31923199
1	119	3.76217604
1	120	4.30489588
1	121	3.75603199
1	122	4.32230377
1	123	3.77241611
1	124	4.32128
1	125	4.30099201
1	126	3.77734399
1	127	4.33049583
1	128	3.75808001
1	129	4.31206417
1	130	3.75808001
1	131	4.32435179
1	132	3.74988794
1	133	4.31411219
1	134	4.31513596
1	135	3.75603199
1	136	4.31411219
1	137	3.75193596
1	138	4.31923199
1	139	3.76115203
1	140	4.31411219
1	141	3.75500798
1	142	4.32025623
1	143	4.31923199
1	144	3.7509439
1	145	4.30793619
1	146	3.757056
1	147	4.32947206
1	148	3.75295997
1	149	4.3161602
1	150	4.31923199
1	151	3.76115203
1	152	4.31513596
1	153	3.757056
1	154	4.32435179
1	155	3.76115203
1	156	4.31206417
1	157	3.75193596
1	158	4.32448006
1	159	4.32115221
1	160	3.75500798
1	161	4.30592012
1	162	3.75603199
1	163	4.32230377
1	164	3.75193596
