logical_stage	op	tensor	no_producer_read_bytes	external_write_bytes
13	l0.s13.norm	l0.hidden	0	0
13	l0.s13.norm	l0.norm	0	0
13	l0.s13.norm	p_layers_0_post_norm_weight	4096	0
14	l0.s14.proj	l0.gate	0	0
14	l0.s14.proj	l0.norm	0	0
14	l0.s14.proj	p_layers_0_gate_proj_weight	25165824	0
15	l0.s15.proj	l0.norm	0	0
15	l0.s15.proj	l0.up	0	0
15	l0.s15.proj	p_layers_0_up_proj_weight	25165824	0
16	l0.s16.act	l0.gate	0	0
16	l0.s16.act	l0.up	0	0
17	l0.s17.proj	l0.gate	0	0
17	l0.s17.proj	l0.s17.proj	0	0
17	l0.s17.proj	p_layers_0_down_proj_weight	25165824	0
17	l0.s17.add	l0.hidden	0	0
17	l0.s17.add	l0.s17.proj	0	0
18	l0.s18.norm	l0.hidden	0	0
18	l0.s18.norm	l1.norm	0	0
18	l0.s18.norm	p_layers_1_input_norm_weight	4096	0
19	l0.s19.proj	l1.norm	0	0
19	l0.s19.proj	l1.q	0	0
19	l0.s19.proj	p_layers_1_q_proj_weight	8388608	0
20	l0.s20.proj	l1.k	0	0
20	l0.s20.proj	l1.norm	0	0
20	l0.s20.proj	p_layers_1_k_proj_weight	4194304	0
21	l0.s21.qknorm	l1.q	0	0
21	l0.s21.qknorm	l1.q_normed	0	0
21	l0.s21.qknorm	p_layers_1_q_norm_weight	256	0
22	l0.s22.qknorm	l1.k	0	0
22	l0.s22.qknorm	l1.k_normed	0	0
22	l0.s22.qknorm	p_layers_1_k_norm_weight	256	0
23	l0.s23.proj	l1.norm	0	0
23	l0.s23.proj	l1.v	0	0
23	l0.s23.proj	p_layers_1_v_proj_weight	4194304	0
24	l0.s24.rope	b_inv_freq	128	0
24	l0.s24.rope	l1.q_normed	0	0
24	l0.s24.rope	l1.q_rot	0	0
25	l0.s25.rope	b_inv_freq	128	0
25	l0.s25.rope	l1.k_normed	0	0
25	l0.s25.rope	l1.k_rot	0	0
26	l0.s26.append	l1.full_k	0	2048
26	l0.s26.append	l1.k_rot	0	0
27	l0.s27.append	l1.full_v	0	2048
27	l0.s27.append	l1.v	0	0
28	l0.s28.attn	l1.context	0	0
28	l0.s28.attn	l1.full_k	6144	0
28	l0.s28.attn	l1.full_v	6144	0
28	l0.s28.attn	l1.q_rot	0	0
29	l0.s29.proj	l0.s29.proj	0	0
29	l0.s29.proj	l1.context	0	0
29	l0.s29.proj	p_layers_1_o_proj_weight	8388608	0
29	l0.s29.add	l0.hidden	0	0
29	l0.s29.add	l0.s29.proj	0	0
29	l0.s29.add	l1.hidden	0	0
30	l0.s30.norm	l1.hidden	0	0
30	l0.s30.norm	l1.norm	0	0
30	l0.s30.norm	p_layers_1_post_norm_weight	4096	0
31	l0.s31.proj	l1.gate	0	0
31	l0.s31.proj	l1.norm	0	0
31	l0.s31.proj	p_layers_1_gate_proj_weight	25165824	0
32	l0.s32.proj	l1.norm	0	0
32	l0.s32.proj	l1.up	0	0
32	l0.s32.proj	p_layers_1_up_proj_weight	25165824	0
33	l0.s33.act	l1.gate	0	0
33	l0.s33.act	l1.up	0	0
34	l0.s34.proj	l0.s34.proj	0	0
34	l0.s34.proj	l1.gate	0	0
34	l0.s34.proj	p_layers_1_down_proj_weight	25165824	0
34	l0.s34.add	l0.s34.proj	0	0
34	l0.s34.add	l1.hidden	0	0
35	l0.s35.norm	l1.hidden	0	0
35	l0.s35.norm	l2.norm	0	0
35	l0.s35.norm	p_layers_2_input_norm_weight	4096	0
36	l0.s36.proj	l2.norm	0	0
36	l0.s36.proj	l2.q	0	0
36	l0.s36.proj	p_layers_2_q_proj_weight	8388608	0
37	l0.s37.proj	l2.k	0	0
37	l0.s37.proj	l2.norm	0	0
37	l0.s37.proj	p_layers_2_k_proj_weight	4194304	0
38	l0.s38.qknorm	l2.q	0	0
38	l0.s38.qknorm	l2.q_normed	0	0
38	l0.s38.qknorm	p_layers_2_q_norm_weight	256	0
39	l0.s39.qknorm	l2.k	0	0
39	l0.s39.qknorm	l2.k_normed	0	0
39	l0.s39.qknorm	p_layers_2_k_norm_weight	256	0
40	l0.s40.proj	l2.norm	0	0
40	l0.s40.proj	l2.v	0	0
40	l0.s40.proj	p_layers_2_v_proj_weight	4194304	0
41	l0.s41.rope	b_inv_freq	128	0
41	l0.s41.rope	l2.q_normed	0	0
41	l0.s41.rope	l2.q_rot	0	0
42	l0.s42.rope	b_inv_freq	128	0
42	l0.s42.rope	l2.k_normed	0	0
42	l0.s42.rope	l2.k_rot	0	0
43	l0.s43.append	l2.full_k	0	2048
43	l0.s43.append	l2.k_rot	0	0
44	l0.s44.append	l2.full_v	0	2048
44	l0.s44.append	l2.v	0	0
45	l0.s45.attn	l2.context	0	0
45	l0.s45.attn	l2.full_k	6144	0
45	l0.s45.attn	l2.full_v	6144	0
45	l0.s45.attn	l2.q_rot	0	0
46	l0.s46.proj	l0.s46.proj	0	0
46	l0.s46.proj	l2.context	0	0
46	l0.s46.proj	p_layers_2_o_proj_weight	8388608	0
46	l0.s46.add	l0.s46.proj	0	0
46	l0.s46.add	l1.hidden	0	0
46	l0.s46.add	l2.hidden	0	0
47	l0.s47.norm	l2.hidden	0	0
47	l0.s47.norm	l2.norm	0	0
47	l0.s47.norm	p_layers_2_post_norm_weight	4096	0
48	l0.s48.proj	l2.gate	0	0
48	l0.s48.proj	l2.norm	0	0
48	l0.s48.proj	p_layers_2_gate_proj_weight	25165824	0
49	l0.s49.proj	l2.norm	0	0
49	l0.s49.proj	l2.up	0	0
49	l0.s49.proj	p_layers_2_up_proj_weight	25165824	0
50	l0.s50.act	l2.gate	0	0
50	l0.s50.act	l2.up	0	0
51	l0.s51.proj	l0.s51.proj	0	0
51	l0.s51.proj	l2.gate	0	0
51	l0.s51.proj	p_layers_2_down_proj_weight	25165824	0
51	l0.s51.add	l0.s51.proj	0	0
51	l0.s51.add	l2.hidden	0	0
52	l0.s52.norm	l2.hidden	0	0
52	l0.s52.norm	l3.norm	0	0
52	l0.s52.norm	p_layers_3_input_norm_weight	4096	0
53	l0.s53.proj	l3.norm	0	0
53	l0.s53.proj	l3.q	0	0
53	l0.s53.proj	p_layers_3_q_proj_weight	8388608	0
54	l0.s54.proj	l3.k	0	0
54	l0.s54.proj	l3.norm	0	0
54	l0.s54.proj	p_layers_3_k_proj_weight	4194304	0
55	l0.s55.qknorm	l3.q	0	0
55	l0.s55.qknorm	l3.q_normed	0	0
55	l0.s55.qknorm	p_layers_3_q_norm_weight	256	0
56	l0.s56.qknorm	l3.k	0	0
56	l0.s56.qknorm	l3.k_normed	0	0
56	l0.s56.qknorm	p_layers_3_k_norm_weight	256	0
57	l0.s57.proj	l3.norm	0	0
57	l0.s57.proj	l3.v	0	0
57	l0.s57.proj	p_layers_3_v_proj_weight	4194304	0
58	l0.s58.rope	b_inv_freq	128	0
58	l0.s58.rope	l3.q_normed	0	0
58	l0.s58.rope	l3.q_rot	0	0
59	l0.s59.rope	b_inv_freq	128	0
59	l0.s59.rope	l3.k_normed	0	0
59	l0.s59.rope	l3.k_rot	0	0
60	l0.s60.append	l3.full_k	0	2048
60	l0.s60.append	l3.k_rot	0	0
61	l0.s61.append	l3.full_v	0	2048
61	l0.s61.append	l3.v	0	0
62	l0.s62.attn	l3.context	0	0
62	l0.s62.attn	l3.full_k	6144	0
62	l0.s62.attn	l3.full_v	6144	0
62	l0.s62.attn	l3.q_rot	0	0
63	l0.s63.proj	l0.s63.proj	0	0
63	l0.s63.proj	l3.context	0	0
63	l0.s63.proj	p_layers_3_o_proj_weight	8388608	0
63	l0.s63.add	l0.s63.proj	0	0
63	l0.s63.add	l2.hidden	0	0
63	l0.s63.add	l3.hidden	0	0
64	l0.s64.norm	l3.hidden	0	0
64	l0.s64.norm	l3.norm	0	0
64	l0.s64.norm	p_layers_3_post_norm_weight	4096	0
65	l0.s65.proj	l3.gate	0	0
65	l0.s65.proj	l3.norm	0	0
65	l0.s65.proj	p_layers_3_gate_proj_weight	25165824	0
66	l0.s66.proj	l3.norm	0	0
66	l0.s66.proj	l3.up	0	0
66	l0.s66.proj	p_layers_3_up_proj_weight	25165824	0
67	l0.s67.act	l3.gate	0	0
67	l0.s67.act	l3.up	0	0
68	l0.s68.proj	l0.s68.proj	0	0
68	l0.s68.proj	l3.gate	0	0
68	l0.s68.proj	p_layers_3_down_proj_weight	25165824	0
68	l0.s68.add	l0.s68.proj	0	0
68	l0.s68.add	l3.hidden	0	0
69	l0.s69.norm	l3.hidden	0	0
69	l0.s69.norm	l4.norm	0	0
69	l0.s69.norm	p_layers_4_input_norm_weight	4096	0
70	l0.s70.proj	l4.norm	0	0
70	l0.s70.proj	l4.q	0	0
70	l0.s70.proj	p_layers_4_q_proj_weight	8388608	0
71	l0.s71.proj	l4.k	0	0
71	l0.s71.proj	l4.norm	0	0
71	l0.s71.proj	p_layers_4_k_proj_weight	4194304	0
72	l0.s72.qknorm	l4.q	0	0
72	l0.s72.qknorm	l4.q_normed	0	0
72	l0.s72.qknorm	p_layers_4_q_norm_weight	256	0
73	l0.s73.qknorm	l4.k	0	0
73	l0.s73.qknorm	l4.k_normed	0	0
73	l0.s73.qknorm	p_layers_4_k_norm_weight	256	0
74	l0.s74.proj	l4.norm	0	0
74	l0.s74.proj	l4.v	0	0
74	l0.s74.proj	p_layers_4_v_proj_weight	4194304	0
75	l0.s75.rope	b_inv_freq	128	0
75	l0.s75.rope	l4.q_normed	0	0
75	l0.s75.rope	l4.q_rot	0	0
76	l0.s76.rope	b_inv_freq	128	0
76	l0.s76.rope	l4.k_normed	0	0
76	l0.s76.rope	l4.k_rot	0	0
77	l0.s77.append	l4.full_k	0	2048
77	l0.s77.append	l4.k_rot	0	0
78	l0.s78.append	l4.full_v	0	2048
78	l0.s78.append	l4.v	0	0
79	l0.s79.attn	l4.context	0	0
79	l0.s79.attn	l4.full_k	6144	0
79	l0.s79.attn	l4.full_v	6144	0
79	l0.s79.attn	l4.q_rot	0	0
80	l0.s80.proj	l0.s80.proj	0	0
80	l0.s80.proj	l4.context	0	0
80	l0.s80.proj	p_layers_4_o_proj_weight	8388608	0
80	l0.s80.add	l0.s80.proj	0	0
80	l0.s80.add	l3.hidden	0	0
80	l0.s80.add	l4.hidden	0	0
81	l0.s81.norm	l4.hidden	0	0
81	l0.s81.norm	l4.norm	0	0
81	l0.s81.norm	p_layers_4_post_norm_weight	4096	0
82	l0.s82.proj	l4.gate	0	0
82	l0.s82.proj	l4.norm	0	0
82	l0.s82.proj	p_layers_4_gate_proj_weight	25165824	0
83	l0.s83.proj	l4.norm	0	0
83	l0.s83.proj	l4.up	0	0
83	l0.s83.proj	p_layers_4_up_proj_weight	25165824	0
84	l0.s84.act	l4.gate	0	0
84	l0.s84.act	l4.up	0	0
85	l0.s85.proj	l0.s85.proj	0	0
85	l0.s85.proj	l4.gate	0	0
85	l0.s85.proj	p_layers_4_down_proj_weight	25165824	0
85	l0.s85.add	l0.s85.proj	0	0
85	l0.s85.add	l4.hidden	0	0
86	l0.s86.norm	l4.hidden	0	0
86	l0.s86.norm	l5.norm	0	0
86	l0.s86.norm	p_layers_5_input_norm_weight	4096	0
87	l0.s87.proj	l5.norm	0	0
87	l0.s87.proj	l5.q	0	0
87	l0.s87.proj	p_layers_5_q_proj_weight	8388608	0
88	l0.s88.proj	l5.k	0	0
88	l0.s88.proj	l5.norm	0	0
88	l0.s88.proj	p_layers_5_k_proj_weight	4194304	0
89	l0.s89.qknorm	l5.q	0	0
89	l0.s89.qknorm	l5.q_normed	0	0
89	l0.s89.qknorm	p_layers_5_q_norm_weight	256	0
90	l0.s90.qknorm	l5.k	0	0
90	l0.s90.qknorm	l5.k_normed	0	0
90	l0.s90.qknorm	p_layers_5_k_norm_weight	256	0
91	l0.s91.proj	l5.norm	0	0
91	l0.s91.proj	l5.v	0	0
91	l0.s91.proj	p_layers_5_v_proj_weight	4194304	0
92	l0.s92.rope	b_inv_freq	128	0
92	l0.s92.rope	l5.q_normed	0	0
92	l0.s92.rope	l5.q_rot	0	0
93	l0.s93.rope	b_inv_freq	128	0
93	l0.s93.rope	l5.k_normed	0	0
93	l0.s93.rope	l5.k_rot	0	0
94	l0.s94.append	l5.full_k	0	2048
94	l0.s94.append	l5.k_rot	0	0
95	l0.s95.append	l5.full_v	0	2048
95	l0.s95.append	l5.v	0	0
96	l0.s96.attn	l5.context	0	0
96	l0.s96.attn	l5.full_k	6144	0
96	l0.s96.attn	l5.full_v	6144	0
96	l0.s96.attn	l5.q_rot	0	0
97	l0.s97.proj	l0.s97.proj	0	0
97	l0.s97.proj	l5.context	0	0
97	l0.s97.proj	p_layers_5_o_proj_weight	8388608	0
97	l0.s97.add	l0.s97.proj	0	0
97	l0.s97.add	l4.hidden	0	0
97	l0.s97.add	l5.hidden	0	0
98	l0.s98.norm	l5.hidden	0	0
98	l0.s98.norm	l5.norm	0	0
98	l0.s98.norm	p_layers_5_post_norm_weight	4096	0
99	l0.s99.proj	l5.gate	0	0
99	l0.s99.proj	l5.norm	0	0
99	l0.s99.proj	p_layers_5_gate_proj_weight	25165824	0
100	l0.s100.proj	l5.norm	0	0
100	l0.s100.proj	l5.up	0	0
100	l0.s100.proj	p_layers_5_up_proj_weight	25165824	0
101	l0.s101.act	l5.gate	0	0
101	l0.s101.act	l5.up	0	0
102	l0.s102.proj	l0.s102.proj	0	0
102	l0.s102.proj	l5.gate	0	0
102	l0.s102.proj	p_layers_5_down_proj_weight	25165824	0
102	l0.s102.add	l0.s102.proj	0	0
102	l0.s102.add	l5.hidden	0	0
103	l0.s103.norm	l5.hidden	0	0
103	l0.s103.norm	l6.norm	0	0
103	l0.s103.norm	p_layers_6_input_norm_weight	4096	0
104	l0.s104.proj	l6.norm	0	0
104	l0.s104.proj	l6.q	0	0
104	l0.s104.proj	p_layers_6_q_proj_weight	8388608	0
105	l0.s105.proj	l6.k	0	0
105	l0.s105.proj	l6.norm	0	0
105	l0.s105.proj	p_layers_6_k_proj_weight	4194304	0
106	l0.s106.qknorm	l6.q	0	0
106	l0.s106.qknorm	l6.q_normed	0	0
106	l0.s106.qknorm	p_layers_6_q_norm_weight	256	0
107	l0.s107.qknorm	l6.k	0	0
107	l0.s107.qknorm	l6.k_normed	0	0
107	l0.s107.qknorm	p_layers_6_k_norm_weight	256	0
108	l0.s108.proj	l6.norm	0	0
108	l0.s108.proj	l6.v	0	0
108	l0.s108.proj	p_layers_6_v_proj_weight	4194304	0
109	l0.s109.rope	b_inv_freq	128	0
109	l0.s109.rope	l6.q_normed	0	0
109	l0.s109.rope	l6.q_rot	0	0
110	l0.s110.rope	b_inv_freq	128	0
110	l0.s110.rope	l6.k_normed	0	0
110	l0.s110.rope	l6.k_rot	0	0
111	l0.s111.append	l6.full_k	0	2048
111	l0.s111.append	l6.k_rot	0	0
112	l0.s112.append	l6.full_v	0	2048
112	l0.s112.append	l6.v	0	0
113	l0.s113.attn	l6.context	0	0
113	l0.s113.attn	l6.full_k	6144	0
113	l0.s113.attn	l6.full_v	6144	0
113	l0.s113.attn	l6.q_rot	0	0
114	l0.s114.proj	l0.s114.proj	0	0
114	l0.s114.proj	l6.context	0	0
114	l0.s114.proj	p_layers_6_o_proj_weight	8388608	0
114	l0.s114.add	l0.s114.proj	0	0
114	l0.s114.add	l5.hidden	0	0
114	l0.s114.add	l6.hidden	0	0
115	l0.s115.norm	l6.hidden	0	0
115	l0.s115.norm	l6.norm	0	0
115	l0.s115.norm	p_layers_6_post_norm_weight	4096	0
116	l0.s116.proj	l6.gate	0	0
116	l0.s116.proj	l6.norm	0	0
116	l0.s116.proj	p_layers_6_gate_proj_weight	25165824	0
117	l0.s117.proj	l6.norm	0	0
117	l0.s117.proj	l6.up	0	0
117	l0.s117.proj	p_layers_6_up_proj_weight	25165824	0
118	l0.s118.act	l6.gate	0	0
118	l0.s118.act	l6.up	0	0
119	l0.s119.proj	l0.s119.proj	0	0
119	l0.s119.proj	l6.gate	0	0
119	l0.s119.proj	p_layers_6_down_proj_weight	25165824	0
119	l0.s119.add	l0.s119.proj	0	0
119	l0.s119.add	l6.hidden	0	0
120	l0.s120.norm	l6.hidden	0	0
120	l0.s120.norm	l7.norm	0	0
120	l0.s120.norm	p_layers_7_input_norm_weight	4096	0
121	l0.s121.proj	l7.norm	0	0
121	l0.s121.proj	l7.q	0	0
121	l0.s121.proj	p_layers_7_q_proj_weight	8388608	0
122	l0.s122.proj	l7.k	0	0
122	l0.s122.proj	l7.norm	0	0
122	l0.s122.proj	p_layers_7_k_proj_weight	4194304	0
123	l0.s123.qknorm	l7.q	0	0
123	l0.s123.qknorm	l7.q_normed	0	0
123	l0.s123.qknorm	p_layers_7_q_norm_weight	256	0
124	l0.s124.qknorm	l7.k	0	0
124	l0.s124.qknorm	l7.k_normed	0	0
124	l0.s124.qknorm	p_layers_7_k_norm_weight	256	0
125	l0.s125.proj	l7.norm	0	0
125	l0.s125.proj	l7.v	0	0
125	l0.s125.proj	p_layers_7_v_proj_weight	4194304	0
126	l0.s126.rope	b_inv_freq	128	0
126	l0.s126.rope	l7.q_normed	0	0
126	l0.s126.rope	l7.q_rot	0	0
127	l0.s127.rope	b_inv_freq	128	0
127	l0.s127.rope	l7.k_normed	0	0
127	l0.s127.rope	l7.k_rot	0	0
128	l0.s128.append	l7.full_k	0	2048
128	l0.s128.append	l7.k_rot	0	0
129	l0.s129.append	l7.full_v	0	2048
129	l0.s129.append	l7.v	0	0
130	l0.s130.attn	l7.context	0	0
130	l0.s130.attn	l7.full_k	6144	0
130	l0.s130.attn	l7.full_v	6144	0
130	l0.s130.attn	l7.q_rot	0	0
131	l0.s131.proj	l0.s131.proj	0	0
131	l0.s131.proj	l7.context	0	0
131	l0.s131.proj	p_layers_7_o_proj_weight	8388608	0
131	l0.s131.add	l0.s131.proj	0	0
131	l0.s131.add	l6.hidden	0	0
131	l0.s131.add	l7.hidden	0	0
132	l0.s132.norm	l7.hidden	0	0
132	l0.s132.norm	l7.norm	0	0
132	l0.s132.norm	p_layers_7_post_norm_weight	4096	0
133	l0.s133.proj	l7.gate	0	0
133	l0.s133.proj	l7.norm	0	0
133	l0.s133.proj	p_layers_7_gate_proj_weight	25165824	0
134	l0.s134.proj	l7.norm	0	0
134	l0.s134.proj	l7.up	0	0
134	l0.s134.proj	p_layers_7_up_proj_weight	25165824	0
135	l0.s135.act	l7.gate	0	0
135	l0.s135.act	l7.up	0	0
136	l0.s136.proj	l0.s136.proj	0	0
136	l0.s136.proj	l7.gate	0	0
136	l0.s136.proj	p_layers_7_down_proj_weight	25165824	0
136	l0.s136.add	l0.s136.proj	0	0
136	l0.s136.add	l7.hidden	0	0
137	l0.s137.norm	l7.hidden	0	0
137	l0.s137.norm	l8.norm	0	0
137	l0.s137.norm	p_layers_8_input_norm_weight	4096	0
138	l0.s138.proj	l8.norm	0	0
138	l0.s138.proj	l8.q	0	0
138	l0.s138.proj	p_layers_8_q_proj_weight	8388608	0
139	l0.s139.proj	l8.k	0	0
139	l0.s139.proj	l8.norm	0	0
139	l0.s139.proj	p_layers_8_k_proj_weight	4194304	0
140	l0.s140.qknorm	l8.q	0	0
140	l0.s140.qknorm	l8.q_normed	0	0
140	l0.s140.qknorm	p_layers_8_q_norm_weight	256	0
141	l0.s141.qknorm	l8.k	0	0
141	l0.s141.qknorm	l8.k_normed	0	0
141	l0.s141.qknorm	p_layers_8_k_norm_weight	256	0
142	l0.s142.proj	l8.norm	0	0
142	l0.s142.proj	l8.v	0	0
142	l0.s142.proj	p_layers_8_v_proj_weight	4194304	0
143	l0.s143.rope	b_inv_freq	128	0
143	l0.s143.rope	l8.q_normed	0	0
143	l0.s143.rope	l8.q_rot	0	0
144	l0.s144.rope	b_inv_freq	128	0
144	l0.s144.rope	l8.k_normed	0	0
144	l0.s144.rope	l8.k_rot	0	0
145	l0.s145.append	l8.full_k	0	2048
145	l0.s145.append	l8.k_rot	0	0
146	l0.s146.append	l8.full_v	0	2048
146	l0.s146.append	l8.v	0	0
147	l0.s147.attn	l8.context	0	0
147	l0.s147.attn	l8.full_k	6144	0
147	l0.s147.attn	l8.full_v	6144	0
147	l0.s147.attn	l8.q_rot	0	0
148	l0.s148.proj	l0.s148.proj	0	0
148	l0.s148.proj	l8.context	0	0
148	l0.s148.proj	p_layers_8_o_proj_weight	8388608	0
148	l0.s148.add	l0.s148.proj	0	0
148	l0.s148.add	l7.hidden	0	0
148	l0.s148.add	l8.hidden	0	0
149	l0.s149.norm	l8.hidden	0	0
149	l0.s149.norm	l8.norm	0	0
149	l0.s149.norm	p_layers_8_post_norm_weight	4096	0
150	l0.s150.proj	l8.gate	0	0
150	l0.s150.proj	l8.norm	0	0
150	l0.s150.proj	p_layers_8_gate_proj_weight	25165824	0
151	l0.s151.proj	l8.norm	0	0
151	l0.s151.proj	l8.up	0	0
151	l0.s151.proj	p_layers_8_up_proj_weight	25165824	0
152	l0.s152.act	l8.gate	0	0
152	l0.s152.act	l8.up	0	0
153	l0.s153.proj	l0.s153.proj	0	0
153	l0.s153.proj	l8.gate	0	0
153	l0.s153.proj	p_layers_8_down_proj_weight	25165824	0
153	l0.s153.add	l0.s153.proj	0	0
153	l0.s153.add	l8.hidden	0	0
154	l0.s154.norm	l8.hidden	0	0
154	l0.s154.norm	l9.norm	0	0
154	l0.s154.norm	p_layers_9_input_norm_weight	4096	0
155	l0.s155.proj	l9.norm	0	0
155	l0.s155.proj	l9.q	0	0
155	l0.s155.proj	p_layers_9_q_proj_weight	8388608	0
156	l0.s156.proj	l9.k	0	0
156	l0.s156.proj	l9.norm	0	0
156	l0.s156.proj	p_layers_9_k_proj_weight	4194304	0
157	l0.s157.qknorm	l9.q	0	0
157	l0.s157.qknorm	l9.q_normed	0	0
157	l0.s157.qknorm	p_layers_9_q_norm_weight	256	0
158	l0.s158.qknorm	l9.k	0	0
158	l0.s158.qknorm	l9.k_normed	0	0
158	l0.s158.qknorm	p_layers_9_k_norm_weight	256	0
159	l0.s159.proj	l9.norm	0	0
159	l0.s159.proj	l9.v	0	0
159	l0.s159.proj	p_layers_9_v_proj_weight	4194304	0
160	l0.s160.rope	b_inv_freq	128	0
160	l0.s160.rope	l9.q_normed	0	0
160	l0.s160.rope	l9.q_rot	0	0
161	l0.s161.rope	b_inv_freq	128	0
161	l0.s161.rope	l9.k_normed	0	0
161	l0.s161.rope	l9.k_rot	0	0
162	l0.s162.append	l9.full_k	0	2048
162	l0.s162.append	l9.k_rot	0	0
163	l0.s163.append	l9.full_v	0	2048
163	l0.s163.append	l9.v	0	0
164	l0.s164.attn	l9.context	0	0
164	l0.s164.attn	l9.full_k	6144	0
164	l0.s164.attn	l9.full_v	6144	0
164	l0.s164.attn	l9.q_rot	0	0
165	l0.s165.proj	l0.s165.proj	0	0
165	l0.s165.proj	l9.context	0	0
165	l0.s165.proj	p_layers_9_o_proj_weight	8388608	0
165	l0.s165.add	l0.s165.proj	0	0
165	l0.s165.add	l8.hidden	0	0
165	l0.s165.add	l9.hidden	0	0
166	l0.s166.norm	l9.hidden	0	0
166	l0.s166.norm	l9.norm	0	0
166	l0.s166.norm	p_layers_9_post_norm_weight	4096	0
167	l0.s167.proj	l9.gate	0	0
167	l0.s167.proj	l9.norm	0	0
167	l0.s167.proj	p_layers_9_gate_proj_weight	25165824	0
168	l0.s168.proj	l9.norm	0	0
168	l0.s168.proj	l9.up	0	0
168	l0.s168.proj	p_layers_9_up_proj_weight	25165824	0
169	l0.s169.act	l9.gate	0	0
169	l0.s169.act	l9.up	0	0
170	l0.s170.proj	l0.s170.proj	0	0
170	l0.s170.proj	l9.gate	0	0
170	l0.s170.proj	p_layers_9_down_proj_weight	25165824	0
170	l0.s170.add	l0.s170.proj	0	0
170	l0.s170.add	l9.hidden	0	0
171	l0.s171.norm	l10.norm	0	0
171	l0.s171.norm	l9.hidden	0	0
171	l0.s171.norm	p_layers_10_input_norm_weight	4096	0
172	l0.s172.proj	l10.norm	0	0
172	l0.s172.proj	l10.q	0	0
172	l0.s172.proj	p_layers_10_q_proj_weight	8388608	0
173	l0.s173.proj	l10.k	0	0
173	l0.s173.proj	l10.norm	0	0
173	l0.s173.proj	p_layers_10_k_proj_weight	4194304	0
174	l0.s174.qknorm	l10.q	0	0
174	l0.s174.qknorm	l10.q_normed	0	0
174	l0.s174.qknorm	p_layers_10_q_norm_weight	256	0
175	l0.s175.qknorm	l10.k	0	0
175	l0.s175.qknorm	l10.k_normed	0	0
175	l0.s175.qknorm	p_layers_10_k_norm_weight	256	0
176	l0.s176.proj	l10.norm	0	0
176	l0.s176.proj	l10.v	0	0
176	l0.s176.proj	p_layers_10_v_proj_weight	4194304	0
177	l0.s177.rope	b_inv_freq	128	0
177	l0.s177.rope	l10.q_normed	0	0
177	l0.s177.rope	l10.q_rot	0	0
178	l0.s178.rope	b_inv_freq	128	0
178	l0.s178.rope	l10.k_normed	0	0
178	l0.s178.rope	l10.k_rot	0	0
179	l0.s179.append	l10.full_k	0	2048
179	l0.s179.append	l10.k_rot	0	0
180	l0.s180.append	l10.full_v	0	2048
180	l0.s180.append	l10.v	0	0
181	l0.s181.attn	l10.context	0	0
181	l0.s181.attn	l10.full_k	6144	0
181	l0.s181.attn	l10.full_v	6144	0
181	l0.s181.attn	l10.q_rot	0	0
182	l0.s182.proj	l0.s182.proj	0	0
182	l0.s182.proj	l10.context	0	0
182	l0.s182.proj	p_layers_10_o_proj_weight	8388608	0
182	l0.s182.add	l0.s182.proj	0	0
182	l0.s182.add	l10.hidden	0	0
182	l0.s182.add	l9.hidden	0	0
183	l0.s183.norm	l10.hidden	0	0
183	l0.s183.norm	l10.norm	0	0
183	l0.s183.norm	p_layers_10_post_norm_weight	4096	0
184	l0.s184.proj	l10.gate	0	0
