producer	consumer	direction	oracle	coordinate	expected	actual	equal
0	1	0	Unique	0	1	1	1
0	1	0	Unique	2	1	1	1
0	1	0	Unique	3	1	1	1
0	1	1	Unique	0	1	1	1
0	1	1	Unique	2	1	1	1
0	1	1	Unique	3	1	1	1
1	2	0	General	0	512	512	1
1	2	0	General	2	512	512	1
1	2	0	General	3	512	512	1
1	2	1	General	0	4	4	1
1	2	1	General	256	4	4	1
1	2	1	General	511	4	4	1
2	3	0	Unique	0	1	1	1
2	3	0	Unique	256	1	1	1
2	3	0	Unique	511	1	1	1
2	3	1	General	0	4	4	1
2	3	1	General	64	4	4	1
2	3	1	General	127	4	4	1
3	4	0	General	0	64	64	1
3	4	0	General	64	64	64	1
3	4	0	General	127	64	64	1
3	4	1	General	0	128	128	1
3	4	1	General	32	128	128	1
3	4	1	General	63	128	128	1
1	5	0	General	0	256	256	1
1	5	0	General	2	256	256	1
1	5	0	General	3	256	256	1
1	5	1	General	0	4	4	1
1	5	1	General	128	4	4	1
1	5	1	General	255	4	4	1
5	6	0	Unique	0	1	1	1
5	6	0	Unique	128	1	1	1
5	6	0	Unique	255	1	1	1
5	6	1	General	0	4	4	1
5	6	1	General	32	4	4	1
5	6	1	General	63	4	4	1
6	7	0	General	0	32	32	1
6	7	0	General	32	32	32	1
6	7	0	General	63	32	32	1
6	7	1	General	0	64	64	1
6	7	1	General	16	64	64	1
6	7	1	General	31	64	64	1
1	8	0	General	0	256	256	1
1	8	0	General	2	256	256	1
1	8	0	General	3	256	256	1
1	8	1	General	0	4	4	1
1	8	1	General	128	4	4	1
1	8	1	General	255	4	4	1
8	9	0	Unique	0	1	1	1
8	9	0	Unique	128	1	1	1
8	9	0	Unique	255	1	1	1
8	9	1	General	0	4	4	1
8	9	1	General	32	4	4	1
8	9	1	General	63	4	4	1
4	10	0	Unique	0	1	1	1
4	10	0	Unique	32	1	1	1
4	10	0	Unique	63	1	1	1
4	10	1	Unique	0	1	1	1
4	10	1	Unique	32	1	1	1
4	10	1	Unique	63	1	1	1
7	11	0	Unique	0	1	1	1
7	11	0	Unique	16	1	1	1
7	11	0	Unique	31	1	1	1
7	11	1	Unique	0	1	1	1
7	11	1	Unique	16	1	1	1
7	11	1	Unique	31	1	1	1
11	12	0	Unique	0	1	1	1
11	12	0	Unique	16	1	1	1
11	12	0	Unique	31	1	1	1
11	12	1	Unique	0	1	1	1
11	12	1	Unique	16	1	1	1
11	12	1	Unique	31	1	1	1
9	13	0	General	0	32	32	1
9	13	0	General	32	32	32	1
9	13	0	General	63	32	32	1
9	13	1	General	0	64	64	1
9	13	1	General	16	64	64	1
9	13	1	General	31	64	64	1
10	14	0	Unique	0	1	1	1
10	14	0	Unique	32	1	1	1
10	14	0	Unique	63	1	1	1
10	14	1	Unique	0	1	1	1
10	14	1	Unique	32	1	1	1
10	14	1	Unique	63	1	1	1
12	14	0	General	0	64	64	1
12	14	0	General	16	64	64	1
12	14	0	General	31	64	64	1
12	14	1	General	0	32	32	1
12	14	1	General	32	32	32	1
12	14	1	General	63	32	32	1
13	14	0	General	0	64	64	1
13	14	0	General	16	64	64	1
13	14	0	General	31	64	64	1
13	14	1	General	0	32	32	1
13	14	1	General	32	32	32	1
13	14	1	General	63	32	32	1
0	15	0	General	0	128	128	1
0	15	0	General	2	128	128	1
0	15	0	General	3	128	128	1
0	15	1	General	0	4	4	1
0	15	1	General	256	0	0	1
0	15	1	General	511	0	0	1
14	15	0	General	0	512	512	1
14	15	0	General	32	512	512	1
14	15	0	General	63	512	512	1
14	15	1	General	0	64	64	1
14	15	1	General	256	64	64	1
14	15	1	General	511	64	64	1
0	16	0	General	0	128	128	1
0	16	0	General	2	128	128	1
0	16	0	General	3	128	128	1
0	16	1	General	0	4	4	1
0	16	1	General	64	4	4	1
0	16	1	General	127	4	4	1
15	16	0	Unique	0	1	1	1
15	16	0	Unique	256	1	1	1
15	16	0	Unique	511	1	1	1
15	16	1	General	0	4	4	1
15	16	1	General	64	4	4	1
15	16	1	General	127	4	4	1
16	17	0	General	0	4	4	1
16	17	0	General	64	4	4	1
16	17	0	General	127	4	4	1
16	17	1	General	0	128	128	1
16	17	1	General	2	128	128	1
16	17	1	General	3	128	128	1
17	18	0	General	0	1536	1536	1
17	18	0	General	2	1536	1536	1
17	18	0	General	3	1536	1536	1
17	18	1	General	0	4	4	1
17	18	1	General	768	4	4	1
17	18	1	General	1535	4	4	1
18	19	0	Unique	0	1	1	1
18	19	0	Unique	768	1	1	1
18	19	0	Unique	1535	1	1	1
18	19	1	General	0	4	4	1
18	19	1	General	192	4	4	1
18	19	1	General	383	4	4	1
17	20	0	General	0	1536	1536	1
17	20	0	General	2	1536	1536	1
17	20	0	General	3	1536	1536	1
17	20	1	General	0	4	4	1
17	20	1	General	768	4	4	1
17	20	1	General	1535	4	4	1
20	21	0	Unique	0	1	1	1
20	21	0	Unique	768	1	1	1
20	21	0	Unique	1535	1	1	1
20	21	1	General	0	4	4	1
20	21	1	General	192	4	4	1
20	21	1	General	383	4	4	1
19	22	0	General	0	4	4	1
19	22	0	General	192	4	4	1
19	22	0	General	383	4	4	1
19	22	1	General	0	384	384	1
19	22	1	General	2	384	384	1
19	22	1	General	3	384	384	1
21	22	0	General	0	4	4	1
21	22	0	General	192	4	4	1
21	22	0	General	383	4	4	1
21	22	1	General	0	384	384	1
21	22	1	General	2	384	384	1
21	22	1	General	3	384	384	1
16	23	0	Unique	0	1	1	1
16	23	0	Unique	64	1	1	1
16	23	0	Unique	127	1	1	1
16	23	1	Unique	0	1	1	1
16	23	1	Unique	256	0	0	1
16	23	1	Unique	511	0	0	1
22	23	0	General	0	512	512	1
22	23	0	General	2	512	512	1
22	23	0	General	3	512	512	1
22	23	1	General	0	4	4	1
22	23	1	General	256	4	4	1
