slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles
0	0	0	1	1	0	0	0	1	0	1024	0	1024	1024	0	1024	3072	1430	0	2381	2012	1824	188	5823
1	2	0	0	1	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2322	1057	46921	4249	3803	446	54549
2	1	0	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2317	1066	46938	3723	3281	442	54044
3	3	0	0	0	128	128	16	1	8192	1024	0	17408	2048	1024	1024	20480	2314	1066	46868	4006	3564	442	54254
4	5	0	2	1	0	0	0	1	0	1024	0	0	0	0	0	1024	1286	0	1651	217	30	187	3154
5	4	0	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1267	0	1567	217	30	187	3051
6	7	0	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1611	0	957	218	30	188	2786
7	6	0	3	1	0	0	0	1	0	1024	0	0	0	0	0	1024	1336	0	976	218	30	188	2530
8	8	0	5	1	0	0	0	1	0	1024	0	3072	0	0	0	4096	1722	0	9125	218	30	188	11065
9	9	0	0	1	128	128	16	1	8192	1024	0	17408	4096	3072	1024	22528	2299	1069	47000	10774	10329	445	61142
10	10	0	1	1	0	0	0	1	0	1024	0	1024	0	0	0	2048	1358	0	2311	2012	1824	188	5681
11	11	0	0	0	128	128	16	1	8192	0	1024	17408	1024	1024	0	19456	2262	1061	47078	4461	4017	444	54862
12	12	0	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2260	1066	47043	3634	3189	445	54003
13	13	0	4	1	0	0	0	1	0	0	0	3072	0	0	0	3072	1368	0	6501	218	30	188	8087
14	14	0	0	1	128	128	16	1	8192	1024	0	34816	4096	3072	1024	39936	2263	1061	94331	10548	10107	441	108203
15	15	0	1	1	0	0	0	1	0	1024	0	1024	0	0	0	2048	1387	0	2295	2008	1820	188	5690
16	17	0	0	0	128	128	16	1	8192	0	1024	17408	1024	1024	0	19456	2286	1064	47114	4143	3697	446	54607
17	16	0	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2283	1074	47096	3884	3440	444	54337
18	18	0	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2286	1006	47087	3646	3200	446	54025
19	20	0	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1271	0	1618	217	30	187	3106
20	19	0	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1299	0	1515	217	30	187	3031
21	22	0	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1374	0	941	218	30	188	2533
22	21	0	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1305	0	956	218	30	188	2479
23	23	0	5	1	0	0	0	1	0	1024	0	3072	0	0	0	4096	1694	0	8967	218	30	188	10879
24	24	0	0	0	128	128	16	1	8192	0	1024	16384	4096	4096	0	21504	2267	1054	47034	10554	10109	445	60909
25	25	0	1	1	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1371	0	2295	1971	1783	188	5637
26	26	0	0	1	128	128	16	1	8192	1024	0	17408	2048	2048	0	20480	2274	1059	47129	4693	4249	444	55155
27	27	0	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2275	1067	47158	3631	3186	445	54131
28	28	0	4	0	0	0	0	1	0	0	0	2048	0	0	0	2048	1383	0	6522	218	30	188	8123
29	29	0	0	0	128	128	16	1	8192	1024	0	34816	3072	3072	0	38912	2274	1060	94336	10540	10097	443	108210
30	30	0	1	1	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1363	0	2294	1965	1777	188	5622
31	32	0	0	1	128	128	16	1	8192	1024	1024	16384	2048	2048	0	20480	2276	1080	47126	4413	3969	444	54895
32	31	0	0	0	128	128	16	1	8192	0	1024	17408	1024	1024	0	19456	2269	1065	47098	3861	3419	442	54293
33	33	0	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2284	1056	47166	3649	3205	444	54155
34	35	0	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1296	0	1652	217	30	187	3165
35	34	0	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1279	0	1549	217	30	187	3045
36	37	0	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1374	0	941	218	30	188	2533
37	36	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1310	0	970	218	30	188	2498
38	38	0	5	1	0	0	0	1	0	0	0	4096	0	0	0	4096	1730	0	8749	218	30	188	10697
39	39	0	0	1	128	128	16	1	8192	1024	0	17408	4096	4096	0	22528	2283	1059	47160	10553	10109	444	61055
40	40	0	1	1	0	0	0	1	0	1024	0	1024	0	0	0	2048	1355	0	2393	1882	1694	188	5630
41	41	0	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2319	1065	47100	4780	4334	446	55264
42	42	0	0	0	128	128	16	1	8192	1024	1024	16384	2048	2048	0	20480	2320	1084	47077	3931	3485	446	54412
43	43	0	4	1	0	0	0	1	0	1024	0	2048	0	0	0	3072	1400	0	6536	218	30	188	8154
44	44	0	0	1	128	128	16	1	8192	1024	0	33792	4096	4096	0	38912	2344	1051	94375	10495	10050	445	108265
45	45	0	1	1	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1385	0	2386	1934	1746	188	5705
46	47	0	0	1	128	128	16	1	8192	1024	1024	16384	2048	2048	0	20480	2333	1058	47110	4465	4022	443	54966
47	46	0	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2325	1062	47094	3691	3248	443	54172
48	48	0	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2330	1077	47044	3963	3518	445	54414
49	50	0	2	1	0	0	0	1	0	0	0	1024	0	0	0	1024	1295	0	1637	217	30	187	3149
50	49	0	2	0	0	0	0	1	0	1024	0	0	1024	0	1024	2048	1312	0	1506	217	30	187	3035
51	52	0	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1397	0	951	218	30	188	2566
52	51	0	3	1	0	0	0	1	0	0	0	1024	0	0	0	1024	1345	0	937	218	30	188	2500
53	53	0	5	1	0	0	0	1	0	1024	0	3072	0	0	0	4096	1721	0	8960	218	30	188	10899
54	54	0	0	0	128	128	16	1	8192	0	1024	16384	4096	4096	0	21504	2321	1058	47108	10483	10037	446	60970
55	55	0	1	1	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1406	0	2377	1933	1745	188	5716
56	56	0	0	1	128	128	16	1	8192	1024	0	17408	2048	2048	0	20480	2321	1057	47056	4472	4027	445	54906
57	57	0	0	0	128	128	16	1	8192	0	1024	17408	1024	1024	0	19456	2332	1066	47156	3944	3498	446	54498
58	58	0	4	0	0	0	0	1	0	0	0	2048	0	0	0	2048	1412	0	6432	218	30	188	8062
59	59	0	0	0	128	128	16	1	8192	1024	0	34816	3072	3072	0	38912	2330	1080	94341	10816	10374	442	108567
60	0	1	1	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1413	0	2375	1968	1780	188	5756
61	2	1	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2273	1064	46880	4213	3773	440	54430
62	1	1	0	0	128	128	16	1	8192	1024	0	16384	2048	2048	0	19456	1762	1040	46863	3679	3240	439	53344
63	3	1	0	0	128	128	16	1	8192	0	1024	16384	2048	1024	1024	19456	2000	1055	46840	3946	3509	437	53841
