space	tasks	nominal_read_bytes	nominal_write_bytes	physical_read_bytes	physical_write_bytes	no_producer_read_bytes	produced_read_bytes	external_write_bytes
l0.s00.embed	1	4104	4096	4104	4096	4104	0	0
l0.s01.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s02.proj	512	12582912	16777216	8454144	262144	8388608	65536	0
l0.s02.proj.combine	16	262144	4096	262144	4096	0	262144	0
l0.s03.proj	128	3145728	4194304	2113536	65536	2097152	16384	0
l0.s03.proj.combine	4	65536	1024	65536	1024	0	65536	0
l0.s04.proj	128	3145728	4194304	2113536	65536	2097152	16384	0
l0.s04.proj.combine	4	65536	1024	65536	1024	0	65536	0
l0.s05.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s06.rope	8	1536	1024	1536	1024	512	1024	0
l0.s07.append	8	1024	1024	1024	1024	0	1024	1024
l0.s08.append	8	1024	1024	1024	1024	0	1024	1024
l0.s09.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s10.proj	512	12582912	16777216	8454144	262144	8388608	65536	0
l0.s10.proj.combine	16	266240	4096	266240	4096	0	266240	0
l0.s11.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s12.proj	2048	50331648	67108864	33816576	1048576	33554432	262144	0
l0.s12.proj.combine	64	1048576	16384	1048576	16384	0	1048576	0
l0.s13.proj	2048	50331648	67108864	33816576	1048576	33554432	262144	0
l0.s13.proj.combine	64	1048576	16384	1048576	16384	0	1048576	0
l0.s14.act	1	32768	16384	32768	16384	0	32768	0
l0.s15.proj	512	50331648	16777216	33816576	262144	33554432	262144	0
l0.s15.proj.combine	16	266240	4096	266240	4096	0	266240	0
l0.s16.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s17.proj	512	12582912	16777216	8454144	262144	8388608	65536	0
l0.s17.proj.combine	16	262144	4096	262144	4096	0	262144	0
l0.s18.proj	128	3145728	4194304	2113536	65536	2097152	16384	0
l0.s18.proj.combine	4	65536	1024	65536	1024	0	65536	0
l0.s19.proj	128	3145728	4194304	2113536	65536	2097152	16384	0
l0.s19.proj.combine	4	65536	1024	65536	1024	0	65536	0
l0.s20.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s21.rope	8	1536	1024	1536	1024	512	1024	0
l0.s22.append	8	1024	1024	1024	1024	0	1024	1024
l0.s23.append	8	1024	1024	1024	1024	0	1024	1024
l0.s24.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s25.proj	512	12582912	16777216	8454144	262144	8388608	65536	0
l0.s25.proj.combine	16	266240	4096	266240	4096	0	266240	0
l0.s26.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s27.proj	2048	50331648	67108864	33816576	1048576	33554432	262144	0
l0.s27.proj.combine	64	1048576	16384	1048576	16384	0	1048576	0
l0.s28.proj	2048	50331648	67108864	33816576	1048576	33554432	262144	0
l0.s28.proj.combine	64	1048576	16384	1048576	16384	0	1048576	0
l0.s29.act	1	32768	16384	32768	16384	0	32768	0
l0.s30.proj	512	50331648	16777216	33816576	262144	33554432	262144	0
l0.s30.proj.combine	16	266240	4096	266240	4096	0	266240	0
l0.s31.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s32.proj	512	12582912	16777216	8454144	262144	8388608	65536	0
l0.s32.proj.combine	16	262144	4096	262144	4096	0	262144	0
l0.s33.proj	128	3145728	4194304	2113536	65536	2097152	16384	0
l0.s33.proj.combine	4	65536	1024	65536	1024	0	65536	0
l0.s34.proj	128	3145728	4194304	2113536	65536	2097152	16384	0
l0.s34.proj.combine	4	65536	1024	65536	1024	0	65536	0
l0.s35.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s36.rope	8	1536	1024	1536	1024	512	1024	0
l0.s37.append	8	1024	1024	1024	1024	0	1024	1024
l0.s38.append	8	1024	1024	1024	1024	0	1024	1024
l0.s39.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s40.proj	512	12582912	16777216	8454144	262144	8388608	65536	0
l0.s40.proj.combine	16	266240	4096	266240	4096	0	266240	0
l0.s41.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s42.proj	2048	50331648	67108864	33816576	1048576	33554432	262144	0
l0.s42.proj.combine	64	1048576	16384	1048576	16384	0	1048576	0
l0.s43.proj	2048	50331648	67108864	33816576	1048576	33554432	262144	0
l0.s43.proj.combine	64	1048576	16384	1048576	16384	0	1048576	0
l0.s44.act	1	32768	16384	32768	16384	0	32768	0
l0.s45.proj	512	50331648	16777216	33816576	262144	33554432	262144	0
l0.s45.proj.combine	16	266240	4096	266240	4096	0	266240	0
l0.s46.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s47.proj	512	12582912	16777216	8454144	262144	8388608	65536	0
l0.s47.proj.combine	16	262144	4096	262144	4096	0	262144	0
l0.s48.proj	128	3145728	4194304	2113536	65536	2097152	16384	0
l0.s48.proj.combine	4	65536	1024	65536	1024	0	65536	0
l0.s49.proj	128	3145728	4194304	2113536	65536	2097152	16384	0
l0.s49.proj.combine	4	65536	1024	65536	1024	0	65536	0
l0.s50.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s51.rope	8	1536	1024	1536	1024	512	1024	0
l0.s52.append	8	1024	1024	1024	1024	0	1024	1024
l0.s53.append	8	1024	1024	1024	1024	0	1024	1024
l0.s54.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s55.proj	512	12582912	16777216	8454144	262144	8388608	65536	0
l0.s55.proj.combine	16	266240	4096	266240	4096	0	266240	0
l0.s56.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s57.proj	2048	50331648	67108864	33816576	1048576	33554432	262144	0
l0.s57.proj.combine	64	1048576	16384	1048576	16384	0	1048576	0
l0.s58.proj	2048	50331648	67108864	33816576	1048576	33554432	262144	0
l0.s58.proj.combine	64	1048576	16384	1048576	16384	0	1048576	0
l0.s59.act	1	32768	16384	32768	16384	0	32768	0
l0.s60.proj	512	50331648	16777216	33816576	262144	33554432	262144	0
l0.s60.proj.combine	16	266240	4096	266240	4096	0	266240	0
l0.s61.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s62.proj	512	12582912	16777216	8454144	262144	8388608	65536	0
l0.s62.proj.combine	16	262144	4096	262144	4096	0	262144	0
l0.s63.proj	128	3145728	4194304	2113536	65536	2097152	16384	0
l0.s63.proj.combine	4	65536	1024	65536	1024	0	65536	0
l0.s64.proj	128	3145728	4194304	2113536	65536	2097152	16384	0
l0.s64.proj.combine	4	65536	1024	65536	1024	0	65536	0
l0.s65.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s66.rope	8	1536	1024	1536	1024	512	1024	0
l0.s67.append	8	1024	1024	1024	1024	0	1024	1024
l0.s68.append	8	1024	1024	1024	1024	0	1024	1024
l0.s69.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s70.proj	512	12582912	16777216	8454144	262144	8388608	65536	0
l0.s70.proj.combine	16	266240	4096	266240	4096	0	266240	0
l0.s71.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s72.proj	2048	50331648	67108864	33816576	1048576	33554432	262144	0
l0.s72.proj.combine	64	1048576	16384	1048576	16384	0	1048576	0
l0.s73.proj	2048	50331648	67108864	33816576	1048576	33554432	262144	0
l0.s73.proj.combine	64	1048576	16384	1048576	16384	0	1048576	0
l0.s74.act	1	32768	16384	32768	16384	0	32768	0
l0.s75.proj	512	50331648	16777216	33816576	262144	33554432	262144	0
l0.s75.proj.combine	16	266240	4096	266240	4096	0	266240	0
l0.s76.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s77.proj	512	12582912	16777216	8454144	262144	8388608	65536	0
l0.s77.proj.combine	16	262144	4096	262144	4096	0	262144	0
l0.s78.proj	128	3145728	4194304	2113536	65536	2097152	16384	0
l0.s78.proj.combine	4	65536	1024	65536	1024	0	65536	0
l0.s79.proj	128	3145728	4194304	2113536	65536	2097152	16384	0
l0.s79.proj.combine	4	65536	1024	65536	1024	0	65536	0
l0.s80.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s81.rope	8	1536	1024	1536	1024	512	1024	0
l0.s82.append	8	1024	1024	1024	1024	0	1024	1024
l0.s83.append	8	1024	1024	1024	1024	0	1024	1024
l0.s84.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s85.proj	512	12582912	16777216	8454144	262144	8388608	65536	0
l0.s85.proj.combine	16	266240	4096	266240	4096	0	266240	0
l0.s86.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s87.proj	2048	50331648	67108864	33816576	1048576	33554432	262144	0
l0.s87.proj.combine	64	1048576	16384	1048576	16384	0	1048576	0
l0.s88.proj	2048	50331648	67108864	33816576	1048576	33554432	262144	0
l0.s88.proj.combine	64	1048576	16384	1048576	16384	0	1048576	0
l0.s89.act	1	32768	16384	32768	16384	0	32768	0
l0.s90.proj	512	50331648	16777216	33816576	262144	33554432	262144	0
l0.s90.proj.combine	16	266240	4096	266240	4096	0	266240	0
l0.s91.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s92.proj	512	12582912	16777216	8454144	262144	8388608	65536	0
l0.s92.proj.combine	16	262144	4096	262144	4096	0	262144	0
l0.s93.proj	128	3145728	4194304	2113536	65536	2097152	16384	0
l0.s93.proj.combine	4	65536	1024	65536	1024	0	65536	0
l0.s94.proj	128	3145728	4194304	2113536	65536	2097152	16384	0
l0.s94.proj.combine	4	65536	1024	65536	1024	0	65536	0
l0.s95.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s96.rope	8	1536	1024	1536	1024	512	1024	0
l0.s97.append	8	1024	1024	1024	1024	0	1024	1024
l0.s98.append	8	1024	1024	1024	1024	0	1024	1024
l0.s99.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s100.proj	512	12582912	16777216	8454144	262144	8388608	65536	0
l0.s100.proj.combine	16	266240	4096	266240	4096	0	266240	0
l0.s101.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s102.proj	2048	50331648	67108864	33816576	1048576	33554432	262144	0
l0.s102.proj.combine	64	1048576	16384	1048576	16384	0	1048576	0
l0.s103.proj	2048	50331648	67108864	33816576	1048576	33554432	262144	0
l0.s103.proj.combine	64	1048576	16384	1048576	16384	0	1048576	0
l0.s104.act	1	32768	16384	32768	16384	0	32768	0
l0.s105.proj	512	50331648	16777216	33816576	262144	33554432	262144	0
l0.s105.proj.combine	16	266240	4096	266240	4096	0	266240	0
l0.s106.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s107.proj	512	12582912	16777216	8454144	262144	8388608	65536	0
l0.s107.proj.combine	16	262144	4096	262144	4096	0	262144	0
l0.s108.proj	128	3145728	4194304	2113536	65536	2097152	16384	0
l0.s108.proj.combine	4	65536	1024	65536	1024	0	65536	0
l0.s109.proj	128	3145728	4194304	2113536	65536	2097152	16384	0
l0.s109.proj.combine	4	65536	1024	65536	1024	0	65536	0
l0.s110.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s111.rope	8	1536	1024	1536	1024	512	1024	0
l0.s112.append	8	1024	1024	1024	1024	0	1024	1024
l0.s113.append	8	1024	1024	1024	1024	0	1024	1024
l0.s114.attn	32	36864	4096	36864	4096	24576	12288	0
l0.s115.proj	512	12582912	16777216	8454144	262144	8388608	65536	0
l0.s115.proj.combine	16	266240	4096	266240	4096	0	266240	0
l0.s116.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s117.proj	2048	50331648	67108864	33816576	1048576	33554432	262144	0
l0.s117.proj.combine	64	1048576	16384	1048576	16384	0	1048576	0
l0.s118.proj	2048	50331648	67108864	33816576	1048576	33554432	262144	0
l0.s118.proj.combine	64	1048576	16384	1048576	16384	0	1048576	0
l0.s119.act	1	32768	16384	32768	16384	0	32768	0
l0.s120.proj	512	50331648	16777216	33816576	262144	33554432	262144	0
l0.s120.proj.combine	16	266240	4096	266240	4096	0	266240	0
l0.s121.norm	1	8192	4096	8192	4096	4096	4096	0
l0.s122.proj	512	12582912	16777216	8454144	262144	8388608	65536	0
l0.s122.proj.combine	16	262144	4096	262144	4096	0	262144	0
l0.s123.proj	128	3145728	4194304	2113536	65536	2097152	16384	0
l0.s123.proj.combine	4	65536	1024	65536	1024	0	65536	0
l0.s124.proj	128	3145728	4194304	2113536	65536	2097152	16384	0
l0.s124.proj.combine	4	65536	1024	65536	1024	0	65536	0
l0.s125.rope	32	6144	4096	6144	4096	2048	4096	0
l0.s126.rope	8	1536	1024	1536	1024	512	1024	0
l0.s127.append	8	1024	1024	1024	1024	0	1024	1024
l0.s128.append	8	1024	1024	1024	1024	0	1024	1024
l0.s129.attn	32	36864	4096	36864	4096	24576	12288	0
