space	tasks	nominal_read_bytes	nominal_write_bytes	physical_read_bytes	physical_write_bytes	no_producer_read_bytes	produced_read_bytes	external_write_bytes
l0.s00.embed	16	65664	65536	65664	65536	65664	0	0
l0.s01.norm	16	131072	65536	131072	65536	65536	65536	0
l0.s02.proj	512	25165824	1048576	16777216	524288	8388608	8388608	0
l0.s02.proj.combine	128	524288	65536	524288	65536	0	524288	0
l0.s03.proj	128	6291456	262144	4194304	131072	2097152	2097152	0
l0.s03.proj.combine	32	131072	16384	131072	16384	0	131072	0
l0.s04.proj	128	6291456	262144	4194304	131072	2097152	2097152	0
l0.s04.proj.combine	32	131072	16384	131072	16384	0	131072	0
l0.s05.rope	512	98304	65536	98304	65536	32768	65536	0
l0.s06.rope	128	24576	16384	24576	16384	8192	16384	0
l0.s07.append	128	16384	16384	16384	16384	0	16384	16384
l0.s08.append	128	16384	16384	16384	16384	0	16384	16384
l0.s09.attn	512	2064384	65536	2064384	65536	393216	1671168	0
l0.s10.proj	512	25165824	1048576	16777216	524288	8388608	8388608	0
l0.s10.proj.combine	128	589824	65536	589824	65536	0	589824	0
l0.s11.norm	16	131072	65536	131072	65536	65536	65536	0
l0.s12.proj	2048	100663296	4194304	67108864	2097152	33554432	33554432	0
l0.s12.proj.combine	512	2097152	262144	2097152	262144	0	2097152	0
l0.s13.proj	2048	100663296	4194304	67108864	2097152	33554432	33554432	0
l0.s13.proj.combine	512	2097152	262144	2097152	262144	0	2097152	0
l0.s14.act	16	524288	262144	524288	262144	0	524288	0
l0.s15.proj	512	100663296	1048576	67108864	524288	33554432	33554432	0
l0.s15.proj.combine	128	589824	65536	589824	65536	0	589824	0
l0.s16.norm	16	131072	65536	131072	65536	65536	65536	0
l0.s17.proj	512	25165824	1048576	16777216	524288	8388608	8388608	0
l0.s17.proj.combine	128	524288	65536	524288	65536	0	524288	0
l0.s18.proj	128	6291456	262144	4194304	131072	2097152	2097152	0
l0.s18.proj.combine	32	131072	16384	131072	16384	0	131072	0
l0.s19.proj	128	6291456	262144	4194304	131072	2097152	2097152	0
l0.s19.proj.combine	32	131072	16384	131072	16384	0	131072	0
l0.s20.rope	512	98304	65536	98304	65536	32768	65536	0
l0.s21.rope	128	24576	16384	24576	16384	8192	16384	0
l0.s22.append	128	16384	16384	16384	16384	0	16384	16384
l0.s23.append	128	16384	16384	16384	16384	0	16384	16384
l0.s24.attn	512	2064384	65536	2064384	65536	393216	1671168	0
l0.s25.proj	512	25165824	1048576	16777216	524288	8388608	8388608	0
l0.s25.proj.combine	128	589824	65536	589824	65536	0	589824	0
l0.s26.norm	16	131072	65536	131072	65536	65536	65536	0
l0.s27.proj	2048	100663296	4194304	67108864	2097152	33554432	33554432	0
l0.s27.proj.combine	512	2097152	262144	2097152	262144	0	2097152	0
l0.s28.proj	2048	100663296	4194304	67108864	2097152	33554432	33554432	0
l0.s28.proj.combine	512	2097152	262144	2097152	262144	0	2097152	0
l0.s29.act	16	524288	262144	524288	262144	0	524288	0
