stages 60
levels 56
widest_level 2
barriers_saved 4

position	stage	level
0	0	0
1	1	1
2	2	2
3	3	3
4	4	4
5	5	5
6	7	5
7	6	6
8	8	7
9	9	8
10	10	9
11	11	10
12	12	11
13	13	12
14	14	13
15	15	14
16	16	15
17	17	16
18	18	17
19	19	18
20	20	19
21	22	19
22	21	20
23	23	21
24	24	22
25	25	23
26	26	24
27	27	25
28	28	26
29	29	27
30	30	28
31	31	29
32	32	30
33	33	31
34	34	32
35	35	33
36	37	33
37	36	34
38	38	35
39	39	36
40	40	37
41	41	38
42	42	39
43	43	40
44	44	41
45	45	42
46	46	43
47	47	44
48	48	45
49	49	46
50	50	47
51	52	47
52	51	48
53	53	49
54	54	50
55	55	51
56	56	52
57	57	53
58	58	54
59	59	55
