stages	component	version	n	median	mean
all	loop	old	490	0.2134010448123861	0.22871889122391284
all	loop	new	490	0.09234741285942999	0.16976695335118824
all	fixed	old	490	0.2155588210125744	0.31794089339057086
all	fixed	new	490	0.23491911626373985	0.27847153112056944
2	loop	old	350	0.20525205828432336	0.2285040606227121
2	loop	new	350	0.11432773680259323	0.20137527870261254
2	fixed	old	350	0.16556912243121358	0.18567434386003284
2	fixed	new	350	0.18465015641514126	0.2208182624152855
3	loop	old	140	0.21825557386528593	0.22925596772691473
3	loop	new	140	0.05041186536325748	0.09074613997262755
3	fixed	old	140	0.3886256401680343	0.6486072672169159
3	fixed	new	140	0.3701365065333606	0.4226047028837792
