slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles	kind_name	simt_barriers	seg_setup	seg_wait	seg_compute	seg_epilogue
0	0	0	1	1	0	0	0	1	0	1024	0	1024	1024	1024	0	3072	1216	0	3829	1414	1294	120	6459	rmsnorm	8	1216	93	3736	1414
1	2	0	0	1	32	16	16	1	1536	1024	0	10240	1024	1024	0	12288	2349	652	25509	2348	2021	327	30858	gemm	0	2349	14421	11740	2348
2	5	0	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	2134	0	1786	152	30	122	4072	rope	0	2134	0	1786	152
3	4	128	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1328	0	1929	150	30	120	3407	rope	0	1328	0	1929	150
4	7	384	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1409	0	1141	166	36	130	2716	kvappend	0	1409	0	1141	166
5	8	0	5	0	0	0	0	1	0	1024	0	25600	0	0	0	26624	1975	0	64599	147	30	117	66721	attention	2	1975	53	64546	147
6	9	0	0	0	32	16	16	1	1536	1024	0	9216	2048	2048	0	12288	2719	632	24484	3597	3478	119	31432	gemm	0	2719	11258	13858	3597
7	10	0	1	0	0	0	0	1	0	1024	0	1024	1024	1024	0	3072	1774	0	3884	1493	1370	123	7151	rmsnorm	8	1774	96	3788	1493
8	11	0	0	0	32	16	16	1	1536	1024	1024	8192	2048	2048	0	12288	2361	683	22345	2982	2855	127	28371	gemm	0	2361	13674	9354	2982
9	13	0	4	0	0	0	0	1	0	1024	0	3072	0	0	0	4096	1640	0	7032	158	36	122	8830	elementwise	0	1640	0	7032	158
10	14	0	0	0	32	16	16	1	1536	1024	0	16384	1024	1024	0	18432	2432	665	40746	4529	4410	119	48372	gemm	0	2432	24852	16559	4529
11	15	0	1	0	0	0	0	1	0	0	0	2048	0	0	0	2048	1418	0	3661	1706	1585	121	6785	rmsnorm	8	1418	94	3567	1706
12	17	0	0	0	32	16	16	1	1536	1024	0	8192	1024	1024	0	10240	2391	661	19600	2679	2324	355	25331	gemm	0	2391	12045	8216	2679
13	20	0	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	2010	0	1651	484	40	444	4145	rope	0	2010	0	1651	484
14	19	128	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1502	0	1926	527	32	495	3955	rope	0	1502	0	1926	527
15	21	0	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1221	0	1062	161	42	119	2444	kvappend	0	1221	0	1062	161
16	23	0	5	0	0	0	0	1	0	1024	0	25600	0	0	0	26624	1960	0	65136	154	32	122	67250	attention	2	1960	68	65068	154
17	24	0	0	0	32	16	16	1	1536	1024	1024	11264	1024	1024	0	14336	2629	1027	27740	3716	3581	135	35112	gemm	0	2629	18892	9875	3716
18	25	0	1	0	0	0	0	1	0	1024	0	1024	1024	1024	0	3072	1576	0	3624	1966	1850	116	7166	rmsnorm	8	1576	94	3530	1966
19	26	0	0	0	32	16	16	1	1536	1024	1024	9216	1024	1024	0	12288	2595	668	23326	3001	2784	217	29590	gemm	0	2595	13874	10120	3001
20	28	0	4	0	0	0	0	1	0	0	0	3072	0	0	0	3072	1353	0	7339	146	30	116	8838	elementwise	0	1353	0	7339	146
21	29	0	0	0	32	16	16	1	1536	1024	1024	16384	2048	2048	0	20480	2441	664	42984	3686	3307	379	49775	gemm	0	2441	22341	21307	3686
22	30	0	1	0	0	0	0	1	0	1024	0	2048	0	0	0	3072	1585	0	4209	1206	1089	117	7000	rmsnorm	8	1585	92	4117	1206
23	32	0	0	0	32	16	16	1	1536	1024	1024	8192	1024	1024	0	11264	2703	659	20552	2722	2458	264	26636	gemm	0	2703	13674	7537	2722
24	35	0	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1383	0	2112	351	30	321	3846	rope	0	1383	0	2112	351
25	34	128	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1448	0	1688	182	64	118	3318	rope	0	1448	0	1688	182
26	37	384	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1604	0	1081	164	48	116	2849	kvappend	0	1604	0	1081	164
27	38	0	5	0	0	0	0	1	0	1024	0	25600	0	0	0	26624	2093	0	65743	151	30	121	67987	attention	2	2093	65	65678	151
28	39	0	0	0	32	16	16	1	1536	1024	0	11264	1024	1024	0	13312	2541	683	26216	3378	3260	118	32818	gemm	0	2541	13722	13177	3378
29	40	0	1	0	0	0	0	1	0	1024	0	2048	0	0	0	3072	1575	0	4040	1410	1283	127	7025	rmsnorm	8	1575	95	3945	1410
